lockL3,lockL4,lockL5,lockL6,station_eu_code
-0.4268174202145463,-0.5730118084870264,-0.3394659412355302,-0.17998149768256388,IT0825A
-0.38152108417163,-0.48666751804772346,-0.2780561133189208,-0.11817728101779379,IT0828A
-0.6630172765843514,-0.7374972877458398,-0.48348043123083884,-0.20142966639018045,IT0863A
-0.2795580517126368,-0.4793610061819855,-0.2632229908485827,NA,IT0865A
-0.49370030527168784,-0.8221509072583681,-0.7998096031292675,-0.3505688718356238,IT0867A
-0.311759533281452,-0.43162242460364775,-0.31472818142613723,NA,IT0869A
0.39816261328315905,NA,-0.542419520337081,-0.3676378346171605,IT0870A
-0.38948437418062865,-0.5650576799838145,-0.4539357337772184,NA,IT0871A
-0.268703232709238,-0.4622644808832892,-0.3634610320117019,NA,IT0872A
-0.41808381478498624,-0.5799677322650991,-0.49361127255708115,-0.3427806564773912,IT0884A
-0.469549728414417,-0.48355391765227085,-0.3559123470045982,NA,IT0885A
-0.1620300892252753,-0.2758541257306144,NA,NA,IT0887A
-0.3060859501019647,-0.4014569551750281,NA,NA,IT0888A
-0.397174861620763,-0.5223943468122849,-0.38496237696295066,NA,IT0889A
NA,-0.3927799389050789,NA,-0.3928888418458074,IT0952A
NA,NA,NA,0.27015506257847166,IT0953A
-0.2733277215255574,-0.44601607435928237,-0.2976383631093511,-0.20530581648753476,IT0956A
NA,NA,NA,NA,IT0989A
-0.45749333054388897,-0.6452601753604943,NA,NA,IT0991A
1.2409041425347858,0.9247835014359846,NA,NA,IT0992A
-0.2820813034719628,-0.45527803744695583,-0.3149301266738672,-0.1962176501056795,IT1176A
-0.3734695951207624,-0.6168947976818219,-0.41677905335169707,NA,IT1183A
-0.25782509303122614,-0.449948755020665,-0.3638332477729056,-0.3228504589003326,IT1184A
-0.39807501981875604,-0.5339815981924045,-0.49481640242563163,-0.30514328777987165,IT1200A
-0.39095050744042403,-0.5736973416888776,-0.36845295816545154,-0.12926668166165234,IT1834A
-0.34040451551424367,-0.4980918030772481,-0.45655247560889833,-0.26894883587568263,IT1835A
-0.3725738197560058,-0.5867872422485211,-0.40066903295233414,NA,IT1836A
-0.379957329549239,-0.6082286666864086,-0.27596457117143225,NA,IT1837A
-0.3519414644392437,-0.5154029472877628,-0.39044349124305944,-0.19618331535399758,IT1841A
-0.3109424554372785,-0.4880216516091218,-0.4719378634125645,-0.37024828511657903,IT1906A
-0.3578021171522119,-0.47397220972963683,-0.315367632685817,NA,IT2012A
-0.18630310789145754,-0.2800310028501647,NA,NA,IT2023A
-0.42696990155796855,-0.49685280876742,-0.34106237498339753,NA,IT2171A
-0.2661935507129298,-0.27488155888785404,NA,NA,IT2172A
-0.23228822477236954,-0.43111732100966205,-0.3313447116789965,NA,IT2173A
-0.4251927420921694,-0.5381906698398494,-0.275439181699796,NA,IT2174A
NA,-0.5728361566728901,NA,NA,IT2175A
-0.30764658814766555,-0.44427508985993525,NA,NA,IT2246A
-0.3250198375507598,-0.3652978587532948,-0.29584261300004366,NA,IT2264A
-0.4322267248036574,-0.5975274156609609,-0.4357928318529113,-0.21873413080073056,IT2265A
